출원번호,출원일,사무소,대리인,MainCPC,발명명칭
1020250069781,20250528,김앤장,이석재,,영상기기 삽입형 상부 개폐용 칠판
1020250068973,20250527,김앤장,김기호,,안마 기능이 구비된 슬라이딩 소파¶안마 기능이 구비된 슬라이딩 소파{Sliding sofa with massage function}
1020250068270,20250526,김앤장,이재훈,,2중계 무절연 가청주파수 궤도회로 장치 및 이를 이용한 열차 점유 검지 방법¶2중계 무절연 가청주파수 궤도회로 장치 및 이를 이용한 열차 점유 검지 방법{Two-stream insulation-free audible frequency trajectory circuit device and a train occupancy detection method using it}
1020250068250,20250526,김앤장,이재훈,,2중계 무절연 AF 궤도회로 및 이를 이용한 모니터링 방법¶2중계 무절연 AF 궤도회로 및 이를 이용한 모니터링 방법{Two-stream insulation-free audible frequency trajectory circuit device and a train occupancy detection method using it}
1020250056117,20250429,김앤장,김현진,,격자형 낙뢰예상시스템
1020250055454,20250428,김앤장,김기호,,관로 및 선로 유지관리가 용이한 보도교
1020250045866,20250409,김앤장,김현진,,제어함체의 유지관리를 위한 보안화 시스템
1020250043415,20250403,김앤장,김현진,,무선통신시스템 구축/유지보수를 위한 통합관리시스템¶무선통신시스템 구축/유지보수를 위한 통합관리시스템{An Intergrated Control System for Constructing and Managing Wireless Communication System}
1020250042688,20250402,김앤장,이정석,,블록체인에 기반하여 장애인 활동 지원 제도에서의 부정 수급을 방지하기 위한 장치 및 방법
1020250037911,20250325,김앤장,김현진,,실내 순환 공조기능을 가진 ESS시스템
1020250035362,20250319,김앤장,조경화,,자동 주수 시스템¶자동 주수 시스템{Automated Water Injection System}
1020250027306,20250304,김앤장,김기호,,교량 신축이음부 연동형 배수설비
1020250023388,20250224,김앤장,이정석,,보안 규격 준수 평가를 자동화하는 장치 및 방법
1020250021589,20250219,김앤장,김현진,,스트링별 릴레이 제어가 가능한 태양광발전시스템
1020250019059,20250214,김앤장,이승현,,다중압착구조 단열 미서기 창호
1020250016419,20250210,김앤장,이승희,,콘크리트 구조물의 중성화 측정장치
1020250016414,20250210,김앤장,이승희,,슈미트 해머 타격점 표시장치
1020250010357,20250123,김앤장,김기호,,시공이 용이한 부착형 차량용 LED 교통 신호등
1020250010058,20250123,김앤장,김성환,,"LNG 선박 화물창의 1차 방벽 용접부에 대한 기밀측정용 베큠박스 및 이를 이용한 기밀측정 시스템¶LNG 선박 화물창의 1차 방벽 용접부에 대한 기밀측정용 베큠박스 및 이를 이용한 기밀측정 시스템{Vacuum box for airtight measurement on the welding part of the primary barrier for cargo hold of LNG ship, and the airtight measurement system using thereof}"
1020250009540,20250122,김앤장,이호준,,지리시간적 정보를 활용한 다국어 번역 시스템
1020250003486,20250109,김앤장,이승현,,변형 방지 보강 및 유지 보수가 용이한 구조를 갖는 데크 시스템과 이의 시공방법
1020250003324,20250109,김앤장,김기호,,철도 분기기 교체 시공방법
1020250001380,20250106,김앤장,김기호,,공간 효율이 향상된 폐수 처리 시스템
1020240194093,20241223,김앤장,이재훈,,지장물 검지장치에 의한 RBC의 이동권한 제한 시스템 및 방법
1020240194054,20241223,김앤장,이재훈,,KTCS-2 RBC간 핸드오버 시 링킹정보를 활용한 이동권한 생성 장치 및 방법
1020240193053,20241220,김앤장,이호준,,시각적 데이터 활용 인공지능 기반 다국어 대응 시스템
1020240190656,20241219,김앤장,김현진,,방수형 태양광발전장치¶방수형 태양광발전장치{A Waterproof Type Photovoltaic Device}
1020240188076,20241217,김앤장,이호준,,인공지능 모델의 학습을 위한 클라우드 기반의 문서 관리 시스템¶인공지능 모델의 학습을 위한 클라우드 기반의 문서 관리 시스템{CLOUD BASED DOCUMENT MANAGEMENT SYSTEM FOR TRANING ARTIFICIAL INTELLIGENCE MODELS}
1020240184814,20241212,김앤장,김기호,,안마모듈의 교체 및 운송이 용이한 마사지 침대 매트리스
1020240179658,20241205,김앤장,이승현,,차량 화재 소화장치
1020240179428,20241205,김앤장,김기호,,마사지 기능이 구비된 침대 매트리스
1020240177061,20241203,김앤장,이재훈,,입제 살포기
1020240176503,20241202,김앤장,이재훈,,가상블럭을 활용한 이동권한 생성 시스템 및 방법
1020240170340,20241126,김앤장,이재훈,,AI 기반 광섬유 분포 음향 계측 기술과 PTZ CCTV 기술을 활용한 경계 침입 감시 시스템 및 방법
1020240168043,20241122,김앤장,이승현,,수납가구 및 이의 조립방법
1020240167890,20241121,김앤장,이석재,,확산 방지 기능을 갖는 파티클 제거 장치
1020240158886,20241111,김앤장,이승현,,내화피복재 조성물
1020240157760,20241108,김앤장,이재훈,,냉장고 레일 보관용 포장 박스
1020240156627,20241106,김앤장,이호준,,데이터 센터를 위한 외기 냉각 시스템
1020240150653,20241030,김앤장,이승현,,드릴파이프 교정장치
1020240147229,20241025,김앤장,이재훈,,액침 냉각 방식 에너지 저장 장치 함체
1020240146657,20241024,김앤장,이승현,,연약지반 드레인보드의 코어구조
1020240143906,20241021,김앤장,김기호,,바닥형 보행신호등 표출부에 LED광원을 이용한 광섬유 바닥형 신호등 시스템
1020240141027,20241016,김앤장,김현진,,스트링 특성을 활용한 태양광 발전 감시시스템
1020240141026,20241016,김앤장,김현진,,절연저항을 이용한 화재진단시스템
1020240141025,20241016,김앤장,김현진,,태양광모듈 불평형 진단시스템
1020240137757,20241010,김앤장,이석재,,전기차 화재 확산 방지용 내열 방화벽
1020240136579,20241008,김앤장,조경화,,식판 자동 세척장치
1020240135754,20241007,김앤장,김기호,,부유식 수상 태양광 계류 시스템
1020240134659,20241004,김앤장,이재훈,,가진원을 갖는 광센서 복합형 고장진단 장치 및 그 방법¶가진원을 갖는 광센서 복합형 고장진단 장치 및 그 방법{Optical sensor composite fault diagnosis device with an excitation source and its method}
1020240132832,20240930,김앤장,김성남,,이온 펄스 에어 분사 장치 및 이를 이용한 건식 세정 시스템 및 방법
1020240127019,20240920,김앤장,이승현,,배터리팩 소화장치와 이를 이용한 배터리팩 소화 및 격리방법
1020240122768,20240910,김앤장,이재훈,,재난안전 침입감시 시스템 및 이를 이용한 침입 감시 방법
1020240122761,20240910,김앤장,이재훈,,핸드캐리용 DAS 시스템 및 이의 운용 방법
1020240122758,20240910,김앤장,이재훈,,현장 맞춤 이동형 스마트 안전정밀진단 센서 스테이션 및 작동 방법¶현장 맞춤 이동형 스마트 안전정밀진단 센서 스테이션 및 작동 방법{Site customized smart safety precision diagnosis sensor station and the method of it}
1020240121976,20240908,김앤장,김지우,,안정화된 펩타이드 액상 조성물
1020240120852,20240905,김앤장,이호준,,데이터 센터의 전력 설비 복구 방법
2020240001613,20240831,김앤장,김성환,,2개의 접시스프링을 체결한 사이리스터 고정장치
1020240111087,20240820,김앤장,이재훈,,실린더 블록 헤드볼트의 볼트홀 복원방법
1020240109035,20240814,김앤장,이재훈,,즉석조리용 컵순대국의 제조방법 및 이에 의해 제조된 즉석조리용 컵순대국
1020240107417,20240812,김앤장,이재훈,,소시지형 순대의 제조방법 및 이에 의해 제조된 소시지형 순대
1020240106815,20240809,김앤장,이호준,,이미지에 대한 검색 엔진 최적화 방법
1020240106675,20240809,김앤장,김시연,,"이차전지용 전해액 첨가제, 이를 포함하는 리튬 이차전지용 비수 전해액, 및 이를 포함하는 리튬 이차전지"
1020240105223,20240807,김앤장,이석재,,중량 계측 장치의 기준값 갱신을 통한 계측 정밀도 증대 시스템 및 방법
1020240105187,20240807,김앤장,이재훈,,누설인덕턴스 전류 변화를 이용한 제어를 통한 DAB 컨버터 내부 자성부품 파라미터 계산 시스템 및 이를 이용한 계산 방법¶누설인덕턴스 전류 변화를 이용한 제어를 통한 DAB 컨버터 내부 자성부품 파라미터 계산 시스템 및 이를 이용한 계산 방법{DAB converter internal magnetic component parameter calculation system and calculation method using leakage inductance current change}
1020240103800,20240805,김앤장,김기호,,LED광원 및 광섬유를 이용한 바닥형 신호등
1020240098635,20240725,김앤장,김기호,,반사층을 이용한 발광 효율이 개선된 바닥형 보행 신호등
1020240098436,20240725,김앤장,이승희,,어스앵커의 긴장력 자동진단방법
1020240098230,20240724,김앤장,이호준,,임대차 계약 관리 및 리워드 지급 시스템
1020240097644,20240724,김앤장,김기호,,도로 결빙 분사용 염수 공급 시스템
1020240097643,20240724,김앤장,김기호,,레일 보강형 스마트 모듈러 레일빔 및 시공방법
1020240088565,20240705,김앤장,이승현,,각도조절 가능한 유속완화 및 골재유실방지장치
1020240087280,20240703,김앤장,이재훈,,로봇 무선 충전 시스템 및 방법
1020240084728,20240627,김앤장,김현진,,태양광 발전시설 절연저항 진단시스템
1020240084727,20240627,김앤장,김현진,,태양광 발전시설 실시간 감시시스템
1020240083410,20240626,김앤장,김기호,,시공성이 개선되고 유지보수가 용이한 날개형 방음시설
