브로셔명,페이지번호,페이지명,섹션,요소유형,내용,비고
일반 브로셔,1,표지,커버,메인카피,"청구항 설계와 명세서 작성, AI가 초안을 잡아드립니다.
변리사의 시간은 전략과 판단에만 투자하세요.",바우처 문구 제거 후 신규 작성 필요
일반 브로셔,1,표지,커버,서브카피1,선행기술 조사 및 출원 과정을 획기적으로 단축해드립니다,
일반 브로셔,1,표지,커버,서브카피2,AI 비교발명 검색 · 청구항 설계 · 명세서 편집 통합 플랫폼,
일반 브로셔,1,표지,비주얼,이미지,UI 스크린샷 1장,제품 화면 캡처 필요
일반 브로셔,2,페인포인트,섹션 제목,헤드라인,이런 문제를 겪고 있지 않으세요?,
일반 브로셔,2,페인포인트,Pain 1,헤드라인,"특허 1건을 처리하기 위해서, 몇 개의 툴을 오고 가셨나요?",
일반 브로셔,2,페인포인트,Pain 1,본문,"검색 툴, 범용 AI, 문서 편집기… 툴마다 결과를 직접 옮기고, 맥락을 기억하는 건 담당자 몫입니다.",
일반 브로셔,2,페인포인트,Pain 1,비용강조,"툴 전환에 쓰는 시간만큼, 판단에 쓸 시간이 줄어듭니다.",
일반 브로셔,2,페인포인트,Pain 2,헤드라인,범용 AI로 초안은 금방 나옵니다. 그런데 왜 거기서 시간이 더 걸릴까요?,
일반 브로셔,2,페인포인트,Pain 2,본문,"80%까지는 빠릅니다. 문제는 나머지 20% — 우리 사무실 형식에 맞추고, 출원 기준에 맞게 다듬는 과정이 결국 시간을 다시 잡아먹습니다.",
일반 브로셔,2,페인포인트,Pain 2,비용강조,"개인화된 AI라면, 그 20%도 처음부터 맞게 나옵니다.",
일반 브로셔,2,페인포인트,Pain 3,헤드라인,선행조사 결과가 청구항 설계로 바로 이어지고 있습니까?,
일반 브로셔,2,페인포인트,Pain 3,본문,"발명 내용, 선행조사 자료, 선행기술 분석 — 각각 다른 곳에 있는 정보를 머릿속에서 연결하며 청구항을 설계하는 건 여전히 담당자 몫입니다.",
일반 브로셔,2,페인포인트,Pain 3,비용강조,"어디서 조사한 자료든, 청구항 전략으로 이어주는 도구가 있다면 조사한 내용이 빠짐없이 권리로 연결됩니다.",
일반 브로셔,3,솔루션+신뢰,섹션 제목,헤드라인,"반복 작업을 줄여서, '핵심 전략 수립'에만 온전히 집중하는 환경을 경험해보세요",
일반 브로셔,3,솔루션+신뢰,플라이휠,중심,출원,
일반 브로셔,3,솔루션+신뢰,플라이휠,1고리,선행기술조사 / 청구항 설계 / 명세서 작성,
일반 브로셔,3,솔루션+신뢰,플라이휠,2고리 (선행기술조사),"발명 내용 기반 유사특허 탐색, 권리공백 분석",
일반 브로셔,3,솔루션+신뢰,플라이휠,2고리 (청구항 설계),"조사 자료 기반 회피 전략 도출, 권리범위 설계",
일반 브로셔,3,솔루션+신뢰,플라이휠,2고리 (명세서 작성),"스타일·출원 기준 반영, 청구항/본문/도면 간 일관성",
일반 브로셔,3,솔루션+신뢰,비주얼,이미지,명세서 작성화면 (청구항 / 명세서 본문 / 챗봇),화면 캡처 필요
일반 브로셔,3,솔루션+신뢰,신뢰 수치,수치,누적고객 X명 / 명세서 출원 X건 / 기타,실제 수치 확인 필요
일반 브로셔,3,솔루션+신뢰,신뢰 수치,추천사,"특허 검색부터 회피 설계, 명세서 작성 단계까지 20시간에서 1시간으로 줄었습니다. — OOO 사무소 변리사",실제 사례 확인 필요
일반 브로셔,3,솔루션+신뢰,신뢰 수치,인증·수상,수상내역 / 보안 인증,내용 확인 필요
일반 브로셔,4,뒷표지,섹션 제목,헤드라인,"PatSol, 지금 바로 시작할 수 있습니다.",바우처 문구 제거
일반 브로셔,4,뒷표지,도입 절차,Step 1,무료 데모 신청 — 30분 실제 업무 화면으로 직접 확인하세요.,
일반 브로셔,4,뒷표지,도입 절차,Step 2,도입 상담 — 우리 사무소에 맞는 플랜을 안내해드립니다.,
일반 브로셔,4,뒷표지,도입 절차,Step 3,계약 및 온보딩 — 도입 즉시 사용할 수 있도록 세팅을 지원합니다.,
일반 브로셔,4,뒷표지,CTA,버튼,무료 데모 신청하기,단일 CTA (바우처 버튼 제거)
일반 브로셔,4,뒷표지,연락처,담당자,[담당자 이름],확인 필요
일반 브로셔,4,뒷표지,연락처,전화,[전화번호],확인 필요
일반 브로셔,4,뒷표지,연락처,이메일,[이메일 주소],확인 필요
일반 브로셔,4,뒷표지,연락처,QR코드,상담 신청 페이지 URL,URL 확인 필요
인서트 카드,1,카드 앞면,커버,메인카피,"지금 신청하면, PatSol을 정부가 지원합니다.",
인서트 카드,1,카드 앞면,바우처 정보,수치 박스,최대 [___]만원 지원,실제 금액 확인 필요
인서트 카드,1,카드 앞면,바우처 정보,우대 문구,중소 법인 선정 우대,
인서트 카드,1,카드 앞면,바우처 정보,마감일,신청 마감 YYYY.MM.DD,실제 날짜 확인 필요
인서트 카드,1,카드 앞면,도입 절차,Step 1,상담 신청,
인서트 카드,1,카드 앞면,도입 절차,Step 2,법인 명의로 바우처 신청,
인서트 카드,1,카드 앞면,도입 절차,Step 3,PatSol 선택 · 계약 및 온보딩,
인서트 카드,1,카드 앞면,CTA,QR코드,바우처 상담 신청 페이지 URL,URL 확인 필요
인서트 카드,1,카드 앞면,연락처,담당자,[담당자 이름],확인 필요
인서트 카드,1,카드 앞면,연락처,전화,[전화번호],확인 필요
인서트 카드,1,카드 앞면,연락처,이메일,[이메일 주소],확인 필요
기업 IP R&D,1,표지,커버,메인카피,"남들이 어디로 가는지 알면, 우리가 어디로 가야 할지 보입니다.",
기업 IP R&D,1,표지,커버,서브카피,"AI가 특허 데이터를 분석해, 기술 전략의 방향을 잡아드립니다.",
기업 IP R&D,1,표지,커버,타겟 태그,IP R&D · 연구자 · 경영진,
기업 IP R&D,1,표지,비주얼,이미지,특허기술흐름도 시각화 이미지,첨부 이미지 활용 가능
기업 IP R&D,2,검색 기능,섹션 제목,헤드라인,전문 지식 없이도 원하는 특허를 찾을 수 있습니다,
기업 IP R&D,2,검색 기능,기능 1,헤드라인,자연어·자료 기반 검색,
기업 IP R&D,2,검색 기능,기능 1,설명,"문장, 논문, 발명 자료를 그대로 입력하면 유사 특허를 자동 탐색",
기업 IP R&D,2,검색 기능,기능 2,헤드라인,AI 검색 결과 분류,
기업 IP R&D,2,검색 기능,기능 2,설명,수백 건의 결과를 기술 카테고리별로 자동 분류,
기업 IP R&D,2,검색 기능,기능 3,헤드라인,문헌 Q&A 챗봇,
기업 IP R&D,2,검색 기능,기능 3,설명,"특허 문서에 직접 질문, 핵심 내용을 즉시 파악",
기업 IP R&D,2,검색 기능,비주얼,이미지,검색 UI 스크린샷,화면 캡처 필요
기업 IP R&D,3,분석·시각화,섹션 제목,헤드라인,검색한 특허가 바로 전략 보고서가 됩니다,
