브로셔명,페이지번호,페이지명,섹션,요소유형,내용,비고
일반 브로셔,1,표지,커버,메인카피,"정부지원 바우처로 
변리사의 명세서 작성을 지원하는 솔루션을 도입해보세요",
일반 브로셔,1,표지,커버,서브카피1,"선행조사부터 청구항 설계 · 명세서 초안까지, 빠르고 빈틈없이",
일반 브로셔,1,표지,비주얼,이미지,UI 스크린샷 1장,제품 화면 캡처 필요
일반 브로셔,1,표지,커버,서브카피2,AI 비교발명 검색 · 청구항 설계 · 명세서 작성 보조,
일반 브로셔,1,표지,커버,정보,"클라우드 바우처
최대 6천만원 지원 (4계정 · 1년 이용 상당)
신청 마감 2026.04.17",
일반 브로셔,2,페인포인트,섹션 제목,헤드라인,이런 문제를 겪고 있지 않으세요?,
일반 브로셔,2,페인포인트,Pain 1,헤드라인,"특허 1건을 처리하기 위해서, 몇 개의 툴을 오고 가셨나요?",
일반 브로셔,2,페인포인트,Pain 1,본문,"전문성 있는 툴은 좋은 결과 퀄리티를 보증하지만, 이 모든 맥락을 기억하고 명세서에 반영해야 하는 건 담당자 몫입니다.",
일반 브로셔,2,페인포인트,Pain 1,비용강조,"툴 전환에 쓰는 시간만큼, 판단에 쓸 시간이 줄어듭니다.",
일반 브로셔,2,페인포인트,Pain 2,헤드라인,"ChatGPT로 초안 작성은 빨라졌는데, 왜 명세서 1건 완성까지 걸리는 시간은 그 만큼 줄어들지 않을까요?",
일반 브로셔,2,페인포인트,Pain 2,본문,"80%까지는 빠릅니다. 문제는 나머지 20% — 우리 사무실 형식에 맞추고, 출원 기준에 맞게 다듬는 과정이 결국 시간을 다시 잡아먹습니다.",
일반 브로셔,2,페인포인트,Pain 2,비용강조,"국내 출원 기준 및 사무소 기준에 맞춰진 도구라면, 명세서 초안을 다듬는 시간이 크게 줄어듭니다.",
일반 브로셔,2,페인포인트,Pain 3,헤드라인,선행조사 결과가 청구항 설계로 바로 이어지고 있습니까?,
일반 브로셔,2,페인포인트,Pain 3,본문,"발명 내용, 검색 결과, 선행기술 분석 — 각각 다른 곳에 있는 정보를 머릿속에서 연결하며 청구항을 설계하는 건 여전히 담당자 몫입니다.",
일반 브로셔,2,페인포인트,Pain 3,비용강조,"어디서 조사한 자료든, 청구항 전략으로 이어주는 도구가 있다면 조사한 내용이 빠짐없이 권리로 연결됩니다.",
