No.,Depth1(페이지),Depth2(섹션),Depth3(기능/컴포넌트),Depth4(세부항목),기능설명/정책,구현 여부,우선순위(1/2/3),비고
A,[비회원] 진입/홈,,,,,,,
1.1,[비회원] 진입/홈,랜딩페이지,서비스 소개,서비스 정보(소개/특징/장점/활용사례),,,,
,,,,무료체험 안내,,,,
,,,,가격정보,,,,
,,,,도입문의,,,,
,,회원가입,,,,,,
,,로그인,,,,,,
,,언어 설정,,,,,,
B,[회원] 특허 검색,,,,,,,
1,검색 진입,-,-,-,비교발명을 위해 특허 검색할 수 있는 진입점,Y,,
1-1-1,검색 진입,검색 내역 조회(과거 검색 세션 조회),최근 3건 검색 내역 조회,-,"- 최근 3건의 특허 검색 세션 조회
- 표시 항목: 세션 제목, 최근 검색 결과 건수, 관심 특허 건수, 최근 검색 일시",N,,
1-1-2,검색 진입,검색 내역 조회,검색 내역 조회,-,- 검색 내역 조회 페이지로 이동,N,,
1-2,검색 진입,자연어 검색,-,-,자연어 형식으로 데이터를 받아서 Vector DB로 검색,Y,,
1-2-1,검색 진입,자연어 검색,자연어 검색 가이드,-,정확도 높은 검색 결과를 얻을 수 있는 검색어 작성법 안내 페이지로 이동,N,,
1-2-2-1,검색 진입,자연어 검색,문서 Import,직무발명서 업로드,"- 직무발명서 업로드 시 AI가 문서에서 텍스트 및 이미지를 파싱해서 채팅창에 입력
- 지원형식: pdf, doc, docx, ppt, pptx, hwp, hwpx",Y,,
1-2-2-2,검색 진입,자연어 검색,문서 Import,회의록,"- 회의록 업로드 시 AI가 문서에서 텍스트 및 이미지를 파싱해서 채팅창에 입력
- 지원형식: pdf, doc, docx, ppt, pptx, hwp, hwpx",N,,
1-2-2-3,검색 진입,자연어 검색,문서 Import,기타 발명서 업로드,"- 기타 발명서 업로드 시 AI가 문서에서 텍스트 및 이미지를 파싱해서 채팅창에 입력
- 지원형식: pdf, doc, docx, ppt, pptx, hwp, hwpx",N,,
1-2-3-1,검색 진입,자연어 검색,프롬프트 입력창,도면 이미지 칩,"- 문서 Import에서 도면 이미지를 파싱했을 경우, 도면 1개당 칩 1개 생성
- 칩을 클릭했을 때 도면 보기 팝업 조회
- 도면 보기 팝업 구성요소: 도면 목록, 도면 이미지, 도면의 간단한 설명, 상세 설명",N,,
1-2-3-2,검색 진입,자연어 검색,프롬프트 입력창,멀티라인 입력,"- 자동 높이 확장(최대 높이 도달 시 스크롤로 확장)
- enter키로 줄바꿈 지원
- ctrl + enter 키로 '검색하기' 시작 가능
- 의도 분류 설정",Y,,
1-2-3-3,검색 진입,자연어 검색,프롬프트 입력창,"""검색하기"" 버튼",검색 세션 화면으로 이동,Y,,
1-3,검색 진입,조건 검색,-,-,문법에 맞게 작성된 조건식을 받아서 Elastic Search로 검색,Y,,
1-3-1,검색 진입,조건 검색,조건식 작성 가이드,-,정확도 높은 검색 결과를 얻을 수 있는 검색식 작성법 안내 페이지로 이동,Y,,
1-3-2-1,검색 진입,조건 검색,조건식 빌더,유형별 조건 추가,"- 명세서 항목 / 관련인 /  일자 / 번호 / 분류 유형별로 조건 추가
- 다른 조건과 조합하는 방식(AND, OR) 설정",Y,,
1-3-2-2,검색 진입,조건 검색,조건식 빌더,명세서 항목 조건 삭제,조건 삭제,Y,,
1-3-3,검색 진입,조건 검색,검색식 변환,-,"- 조건식 빌더로 작성된 조건이 식으로 변환
- 직접 조건식 작성 가능",Y,,
2,검색 세션,-,-,-,특허 문서 검색과 관련된 작업하는 공간,Y,,
2-1,검색 세션,프로젝트 정보,-,-,세션 관련 정보 조회 및 기능 제어,N,,
2-1-1,검색 세션,프로젝트 정보,현재 세션 제목,-,"- 한글 기준 20~40자
- 조건식으로 검색했을 경우, 조건식에 대한 서술 생성
- 자연어로 검색했을 경우, 요약 생성",Y,,
2-1-1-1,검색 세션,프로젝트 정보,현재 세션 제목,세션 제목 편집,"- 세션 제목을 더블클릭하거나, 호버하면 뜨는 편집 아이콘을 클릭해서 제목 수정 가능
- 편집 모드에서 enter키 입력, 또는 다른 곳을 클릭하면 제목 수정모드 종료",Y,3,
2-1-2,검색 세션,프로젝트 정보,검색 내역 조회 (과거 검색 세션 목록 조회),-,오버레이 형태로 과거 검색 세션 목록 조회,Y,,
2-1-2-1,검색 세션,프로젝트 정보,검색 내역 조회 (과거 검색 세션 목록 조회),목록 조회,"조회되는 정보: 세션 제목, 최근 검색 결과 건수, 관심 특허 건수, 최근 검색 일시",Y,,
2-1-2-2,검색 세션,프로젝트 정보,검색 내역 조회 (과거 검색 세션 목록 조회),세션 이동,목록 선택 시 해당 검색 세션으로 화면 전환,Y,,
2-1-3,검색 세션,프로젝트 정보,새 검색 시작,-,"- 클릭시 현재 세션에서 검색 진입 화면으로 이동함(새 세션 시작함)
- 현재 상태는 작업중인 내역이 날아갈 수 있기 때문에, 진짜 이동하겠는지 팝업창으로 한번 확인하는 과정 필요 (모든 작업을 기억할 수 있게 되면 팝업창 필요없음)",N,,
2-1-4,검색 세션,프로젝트 정보,세션 다음단계 안내버튼,-,"현재 세션이 검색 단계에서 분석/작성 단계로 전환되며, 화면 전환됨",Y,,
2-1-4-1,검색 세션,프로젝트 정보,세션 다음단계 안내버튼,"""'분석하기"" 버튼 (내 발명 구체화하기)","- 현재 검색세션이 분석세션으로 변경됨
- 분석 섹션: 검색 세션에서 찾은 관심특허에서 권리 공백 분석
- 구체화 섹션: 검색 세션에서 수집한 맥락(내 발명, 매직노트, 채팅창)으로 사용자가 청구하고 싶은 청구항, 명세서 요약 보고서 생성 ",Y,,
2-1-4-2,검색 세션,프로젝트 정보,세션 다음단계 안내버튼,"""명세서 작성하기"" 버튼","- 청구항 생성, 명세서 생성",Y,,
2-2,검색 세션,검색 결과 필터,-,-,검색 결과에 대해 추가 필터링으로 검토 대상 범위를 줄이는 목적,N,,
2-2-1-1,검색 세션,검색 결과 필터,토픽 필터,토픽 생성,검색 결과에 대해 클러스터링으로 생성한 토픽을 리스트로 조회,N,1-a,
2-2-1-2,검색 세션,검색 결과 필터,토픽 필터,토픽 필터 적용/해제,토픽 리스트에 체크박스 on/off로 필터 적용/해제,N,1-a,두 개 이상의 필터 적용시 and/or 조합 여부 결정
2-2-1-3,검색 세션,검색 결과 필터,토픽 필터,토픽으로 재검색,"- 단건 토픽으로 재검색할 수 있는 버튼 제공
- 버튼 클릭 시 현재의 특허 문서 검색 결과 달라질 수 있음을 고지하는 팝업창 조회
- 재검색 버튼 클릭 시 재검색 실행",N,2,
2-2-2-1,검색 세션,검색 결과 필터,조건 필터,조건 필터 적용/해제,"- 검색 결과에 대해 조건 필터 가능 항목 조회
- 조건 리스트에 체크박스 on/off로 필터 적용/해제",N,1-a,
2-3-1-1,검색 세션,작업공간 - 공통,패널 컨트롤,패널 접기/펴기,AI 채팅 / 매직노트 있는 패널 접기/펼치기,N,3,
2-3-1-2,검색 세션,작업공간 - 공통,패널 컨트롤,패널 폭 조절,AI 채팅 / 매직노트 있는 패널 폭 조절,N,3,
2-3-2,검색 세션,작업공간 - 공통,검색 히스토리 조회,,,,,
2-4,검색 세션,작업섹션 - AI채팅,-,-,"AI가 왼쪽 워크플로우의 상태를 읽고, 대화를 통해 그 상태를 직접 제어할 수 있는 에이전트형 챗봇의 AI 대화 인터페이스",N,,
2-4-1,검색 세션,작업섹션 - AI채팅,AI 응답 상태 표시,,AI 응답 상태 구분 레이블: 의도 파악중 / 답변 중 / 답변 완료,N,,
2-4-2-1,검색 세션,작업섹션 - AI채팅,AI 응답,대화 스레드 조회,대화 스레드에 마크다운으로 AI 응답 렌더링,Y,,
2-4-2-2,검색 세션,작업섹션 - AI채팅,AI 응답,검색 의도(맥락) 요약,"- 검색 결과 최초 조회 시 AI가 자동 생성하는 검색 실행 근거
- 검색 실행 근거: [1-2-3-2]의 사용자 입력 쿼리 + (AI 충분도: 불충분 시) 심층 검색 및 사용자 추가 입력 데이터",N,,
2-4-2-3,검색 세션,작업섹션 - AI채팅,AI 응답,검색 결과 브리핑,"- 총 건수, 상위 토픽, 주목할 결과 요약 출력",N,1,
2-4-2-3,검색 세션,작업섹션 - AI채팅,AI 응답,<비기능> 검색 충분도 파악,"- Vector DB 검색 결과, Top 50 이내에 원하는 문서를 다 담을 수 있을 정도로 요청이 자세한지 판단함
- 충분히 자세한 요청임이 파악되었을 때 검색 결과를 조회함
- 충분한 입력 예시: ""리튬이온 배터리 급속충전 시 발열을 억제하기 위한 열관리 알고리즘 및 BMS 제어 방법""
- 불충분한 입력 예시: ""배터리"", ""좋은 기술 찾아줘"" ""KR1020180060065""",N,1,ia_sepc-v0.1.md 검색 실행 흐름 요약
2-4-2-4,검색 세션,작업섹션 - AI채팅,AI 응답,심층검색 방향 선정 제안 및 QA,"- [2-4-2-3]으로 검색 충분도 파악
- 심층 검색 목적 클러스터링 실행 및 토픽 생성
- 토픽으로 QA 폼 생성
- QA 폼에서 사용자 의도 입력받음",Y,,
2-4-2-5,검색 세션,작업섹션 - AI채팅,AI 응답,토픽/조건 필터로 검색 범위 재조정 제안,"<제안 시점>
- [2-4-2-4] 이후 검색 결과 내에서 사용자 의도를 3가지 후보로 예측
- 후속 질문이 현재 결과 내 범위 조정형으로 판단될 때.

<제안 방식>
- 예측한 내용별로 토픽필터 + 조건 필터 추천 제안
- 버튼을 제공해서, 제안을 검색 세션에 적용할 수 있음

<예시>
 - 예: ""배터리 관련만 보고 싶어"" → 토픽 필터 CTA 제안 → 확인 시 좌측 패널 갱신. 재검색 없이 현재 세션 내에서 처리.",N,,
2-4-2-6,검색 세션,작업섹션 - AI채팅,AI 응답,AI 응답별 상태 인디케이터,"사용자에게 ""지금 무엇을 하고 있는지"" 보여주는 최소 노출",N,3,
2-4-2-7,검색 세션,작업섹션 - AI채팅,AI 응답,<비기능> 재검색/범위조정 판단,"사용자의 후속질문이 현재 결과 내 범위 조정으로 해결되는지, 재검색이 필요한지 판단",N,,
2-4-2-8,검색 세션,작업섹션 - AI채팅,AI 응답,특허 단건 분석 응답,"특허 카드 클릭 또는 담기 후 ""이 특허 요약해줘"" 요청 시 AI가 응답",Y,,
2-4-2-9,검색 세션,작업섹션 - AI채팅,AI 응답,통계 분석 응답,{내용추가},N,,
2-4-2-10,검색 세션,작업섹션 - AI채팅,AI 응답,관심 특허 분석 응답,{내용추가},Y,,
2-4-2-11,검색 세션,작업섹션 - AI채팅,AI 응답,<비기능> 패널 상태 컨텍스트 주입,"- 매 요청마다 시스템 프롬프트에 좌측 패널 상태를 주입.
- 포함 데이터: 현재 검색 의도 요약, 적용 필터, 정렬 기준, 결과 건수, 상위 N건 메타데이터.
- LLM 내부 처리",N,,
